Point Id	Easting	Northing	Elevation	Code	
DEFAULT22					
479	1.3964	-0.8773	-0.0012		
480	2.8483	-0.9915	0.0052		
481	3.9148	-1.1202	0.0108		
482	3.3963	-2.1876	0.0107		
483	2.4259	-2.1720	-0.0038		
484	1.4324	-1.9424	0.0001		
485	0.6320	-1.7436	0.0033		
486	-0.4144	-1.7545	-0.0019		
487	-1.3843	-2.0003	0.0056		
488	-1.3152	-3.5481	0.0038		
489	-0.4081	-3.9852	-0.0070		
490	1.8306	-4.3945	-0.0102		
491	2.8339	-3.6058	-0.0038		
492	3.8266	-3.3525	0.0081		
493	1.5768	8.1051	9.0559		
494	-0.0004	8.3177	1.3026		
495	1.4238	8.1150	0.1770		
496	-2.4104	8.0411	0.1850		
497	-2.1623	0.3649	0.2070		
498	-1.7923	7.7043	0.1896		
499	-1.1246	-3.6249	0.2169		
500	0.6511	-2.5435	0.2056		
UR	0.0000	0.0000	0.0000		
